id_jeu;nom;nb_joueurs_min;nb_joueur_max;age_min;Unnamed: 5;lien_photo;extension;duree_min;duree_max;type;description
773;Kikafé?;3.0;6.0;6.0;;https://www.myludo.fr/img/jeux/1753053656/300/aw/22923.png;;15;;Jeu pour enfants;Kikafé? est un jeu d’observation et de déduction dans lequel les joueurs doivent identifier le bon personnage ou animal en croisant plusieurs indices visuels. Il stimule la logique, l’attention aux détails et l’esprit de déduction.
694;Plouf Party;3.0;6.0;6.0;;https://www.myludo.fr/img/jeux/1650790471/300/au/20871.png;;15;;Jeu pour enfants;Plouf Party est un jeu d’adresse et de stratégie légère dans lequel les enfants tentent de pousser les autres personnages hors d’une plateforme flottante sans faire tomber les leurs. Chaque déplacement modifie l’équilibre et crée des situations amusantes où l’observation et l’anticipation deviennent essentielles. Les parties sont rapides, dynamiques et favorisent la motricité fine tout en proposant un vrai moment ludique accessible à tous.
787;Sherlock 13;2.0;4.0;6.0;;https://www.myludo.fr/img/jeux/1753054139/300/aa/29.png;;15;;Jeu d'enquête / déduction;Sherlock 13 est un jeu d’enquête et de déduction rapide où chaque joueur tente d’identifier le mystérieux coupable parmi douze personnages. Grâce à l’analyse des indices, aux questions posées et à l’observation des cartes visibles, les enfants apprennent à éliminer des suspects et à raisonner de façon logique. Simple à expliquer mais malin dans sa mécanique, il offre un vrai moment d’enquête accessible dès le plus jeune âge.
618;Texto!;2.0;6.0;6.0;;https://www.myludo.fr/img/jeux/1652964392/300/aw/22256.png;;15;;Jeu pour enfants;Texto! est un jeu de rapidité et d’observation où les enfants doivent trouver un mot correspondant à une lettre et à une catégorie révélées simultanément. Le but est d’être le premier à taper la bonne carte tout en gardant son sang-froid. Drôle, énergique et très accessible, il favorise le vocabulaire, la réactivité et l’expression orale dans une ambiance compétitive mais bienveillante.
721;Twin It!;2.0;6.0;6.0;;https://www.myludo.fr/img/jeux/1695057703/300/au/20210.png;;15;;Jeu pour enfants;Twin It! est un jeu de réflexe et d’attention dans lequel les joueurs doivent repérer le plus vite possible les paires de cartes identiques parmi un ensemble qui se remplit en continu. Les motifs colorés se ressemblent beaucoup, rendant chaque partie intense et pleine de rebondissements. Idéal pour travailler la concentration et la perception visuelle, ce jeu garantit des moments de frénésie et de rire.
236;Twin It! Japan;2.0;6.0;6.0;;https://www.myludo.fr/img/jeux/1640789650/300/bv/47522.png;;15;;Jeu pour enfants;Twin It! Japon reprend le principe du jeu original mais propose des illustrations inspirées de la culture japonaise, plus artistiques et délicates. Les joueurs doivent toujours trouver les paires le plus rapidement possible, mais la richesse graphique ajoute un vrai défi visuel. C’est un excellent jeu pour stimuler l’observation tout en découvrant un style esthétique élégant et dépaysant.
770;Brouhaha;3.0;36.0;6.0;;https://www.myludo.fr/img/jeux/1677687231/300/ac/2549.png;;20;;Jeu pour enfants;Brouhaha est un jeu d’ambiance où chaque joueur doit reproduire le cri de son animal pour retrouver ses pairs dans le vacarme général. Tout le monde joue en même temps, ce qui crée un chaos drôle et volontairement bruyant. Simple, immédiat et parfait pour les enfants, le jeu favorise la désinhibition, la reconnaissance auditive et le travail en équipe dans une atmosphère hilarante.
596;Chabyrinthe;1.0;4.0;6.0;;https://www.myludo.fr/img/jeux/1618320542/300/bc/28209.png;;20;;Jeu pour enfants;Antoine Bauza est un game designer français. Il conçoit des jeux de société, des jeux de rôle et des jeux vidéo et est également auteur de livres pour enfants.
661;Crazy Cups;2.0;4.0;6.0;;https://www.myludo.fr/img/jeux/1739269997/300/ac/2002.png;;20;;Jeu pour enfants;Crazy Cups est un jeu de rapidité où les joueurs doivent empiler ou aligner leurs gobelets en reproduisant le plus vite possible les modèles affichés sur les cartes. Chaque défi demande observation, réflexe et coordination. Simple, coloré et ultra-dynamique, il met l’ambiance instantanément et plaît énormément aux enfants comme aux adultes.
868;Décrocher La Lune;2.0;6.0;6.0;;https://www.myludo.fr/img/jeux/1677477189/300/aa/7.png;;20;;Jeu pour enfants;Décrocher la Lune est un jeu d’adresse poétique dans lequel les joueurs construisent une structure aérienne en plaçant des échelles en équilibre. Chaque pièce posée influence la stabilité globale, ce qui demande précision et délicatesse. Le jeu est calme, beau et accessible, mélangeant créativité et tension douce dans une ambiance presque méditative.
476;El Capitan;2.0;6.0;6.0;;https://www.myludo.fr/img/jeux/1754603953/300/ab/1298.png;;20;;Jeu pour enfants;El Capitan est un jeu d’adresse où les joueurs doivent empiler des objets pour reproduire des constructions visibles sur des cartes, sans les faire tomber. Les défis deviennent de plus en plus complexes et demandent agilité, concentration et sens de l’équilibre. Rapide et amusant, il fonctionne très bien avec les enfants et propose un vrai défi moteur.
930;Gang De Castors;2.0;6.0;6.0;;https://www.myludo.fr/img/jeux/1673211426/300/bd/29121.png;;20;;Jeu pour enfants;Gang de Castors est un jeu de cartes malin où chaque joueur tente d’obtenir la plus petite valeur totale en manipulant, échangeant ou révélant ses cartes. Il faut bluffer, mémoriser et anticiper les coups des adversaires pour retourner la situation à son avantage. Facile à comprendre et très addictif, il plaît aux familles grâce à ses parties rapides et interactives.
668;Gare À La Toile;2.0;4.0;6.0;;https://www.myludo.fr/img/jeux/1747310509/300/au/20050.png;;20;;Jeu pour enfants;Gare à la Toile est un jeu de stratégie pour enfants où les joueurs déplacent des araignées sur une toile en 3D pour attraper des insectes sans se faire surprendre par la grande araignée centrale. Les déplacements créent de la tension et demandent réflexion. Ludique et visuellement original, il développe la logique et l’anticipation chez les plus jeunes.
597;Gloobz;2.0;6.0;6.0;;https://www.myludo.fr/img/jeux/1656922531/300/ab/1642.png;;20;;Jeu pour enfants;Gloobz est un jeu d’observation et de rapidité où les joueurs doivent identifier le bon personnage ou la bonne couleur en fonction des consignes changeantes des cartes. Les règles simples et la vitesse d’exécution créent un chaos amusant qui fait rire toute la table. C’est un jeu parfait pour travailler la logique, la perception et les réflexes.
487;La Forêt Mystérieuse;2.0;4.0;6.0;;https://www.myludo.fr/img/jeux/1733000539/300/aa/328.png;;20;;Jeu pour enfants;La Forêt Mystérieuse est un jeu coopératif inspiré d’une BD, où les joueurs préparent leur équipement puis traversent une forêt pleine d’épreuves pour protéger un jeune héros. Le jeu mélange mémoire, gestion d’objets et décisions collectives. Immersif, accessible et joliment illustré, il introduit les enfants à la coopération tout en offrant un vrai sentiment d’aventure.
811;Le Petit Prince - Voyage Vers Les Étoiles;2.0;6.0;6.0;;https://www.myludo.fr/img/jeux/1732358371/300/av/21005.png;;20;;Jeu pour enfants;Ian Parovel est un directeur artistique, réalisateur, concepteur de jeux, scénariste et designer français vivant à Saint-Germain-en-Laye.
526;Les Aventuriers Du Rail - Mon Premier Voyage;2.0;4.0;6.0;;https://www.myludo.fr/img/jeux/1685642414/300/aa/481.png;;20;;Jeu pour enfants;Les Aventuriers du Rail - Mon Premier Voyage est une version simplifiée du célèbre jeu où les enfants relient des villes en posant leurs trains pour compléter des objectifs. Les règles accessibles et les cartes colorées permettent d’apprendre la logique des trajets tout en jouant. C’est un excellent premier jeu de stratégie pour découvrir l’univers des Aventuriers du Rail en douceur.
984;Salade De Cafards;2.0;6.0;6.0;;https://www.myludo.fr/img/jeux/1722866139/300/ak/10258.png;;20;;Jeu pour enfants;Salade de Cafards est un jeu de rapidité où les joueurs doivent poser des cartes légumes en annonçant ce qu’ils voient… même si parfois ils doivent mentir. Les règles imposent des contraintes qui créent des erreurs hilarantes et du chaos contrôlé. Simple, nerveux et très drôle, il fonctionne parfaitement avec les enfants.
1004;Sushi Dice;2.0;6.0;6.0;;https://www.myludo.fr/img/jeux/1756240128/300/ab/1469.png;;20;;Jeu de dés;Sushi Dice est un jeu de dés rapide où les joueurs lancent simultanément pour composer les meilleures assiettes de sushis tout en bloquant leur adversaire. Le rythme effréné, les symboles à reconnaître et les cris “Sushi !” dynamisent chaque partie. Fun, accessible et compétitif, il plaît beaucoup aux familles.
334;Bandida;1.0;4.0;6.0;;https://www.myludo.fr/img/jeux/1753430192/300/bn/39946.png;;30;;Jeu pour enfants;Bandida est un jeu coopératif où les joueurs posent des cartes pour construire un labyrinthe et empêcher Bandida de s’échapper… sauf si on choisit de l’aider. Les objectifs varient selon le mode, offrant rejouabilité et stratégie légère. C’est un petit jeu malin, simple et parfait pour des parties rapides.
392;Groin Devant;2.0;5.0;6.0;;https://www.myludo.fr/img/jeux/1669574385/300/ai/8145.png;;30;;Jeu pour enfants;Groin Devant est un jeu d’observation et de réflexe où les joueurs doivent repérer rapidement les bonnes combinaisons de cartes représentant des animaux rigolos. Les manches s’enchaînent vite et demandent attention et rapidité. Idéal avec les enfants, il crée beaucoup de rires et de compétition bienveillante.
782;Halli Galli;2.0;6.0;6.0;;https://www.myludo.fr/img/jeux/1609175152/300/af/5168.png;;30;;Jeu de rapidité;Halli Galli est un jeu de rapidité où les joueurs retournent des cartes fruits et doivent taper la cloche dès qu’une combinaison apparaît. Le rythme monte très vite et demande concentration, réflexe et observation. Un classique simple, efficace et extrêmement fun.
813;Ice Cool;2.0;4.0;6.0;;https://www.myludo.fr/img/jeux/1702043750/300/aa/548.png;;30;;Jeu d'adresse;Ice Cool est un jeu d’adresse en 3D où les joueurs font glisser leurs pingouins pour passer les portes du collège ou attraper leurs camarades. Les pichenettes permettent des trajectoires surprenantes et très amusantes. Coloré, original et dynamique, il séduit autant les enfants que les adultes.
688;Jenga;1.0;10.0;6.0;;https://www.myludo.fr/img/jeux/1691749410/300/ba/26239.png;;30;;Jeu pour enfants;Jenga est un jeu d’adresse où les joueurs retirent des blocs d’une tour en bois sans la faire tomber. Plus la partie avance, plus la structure devient instable, augmentant la tension. Un classique intemporel qui développe la motricité fine et garantit de grands moments de suspense et de rire.
469;Kaboum;2.0;5.0;6.0;;https://www.myludo.fr/img/jeux/1576140703/300/ab/1604.png;;30;;Jeu pour enfants;Kaboum est un jeu d’adresse où un joueur doit construire des tours en blocs tandis que les autres tentent de les faire tomber à distance en lançant des balles. Le mélange construction/démolition crée une ambiance incroyable et très animée. Parfait pour les enfants qui aiment bouger.
28;Order Overload Cafe;2.0;6.0;6.0;;https://www.myludo.fr/img/jeux/1727944501/300/cj/61961.png;;30;;Jeu pour enfants;Order Overload Café est un jeu coopératif de mémoire où les joueurs doivent retenir et servir des commandes de plus en plus longues dans un café animé. Chaque ajout augmente la difficulté et met la pression sur le groupe. Simple, chaleureux et très amusant, il favorise la coopération et l’écoute.
517;PitchCar;2.0;8.0;6.0;;https://www.myludo.fr/img/jeux/1619603109/300/aq/16993.png;;30;;Jeu d'adresse;PitchCar est un jeu de course à pichenettes où les joueurs propulsent leur voiture en bois sur des pistes modulables. Il faut précision, maîtrise et un peu d’audace pour réussir les virages. Un jeu d’adresse culte, fun et parfait pour de grandes tablées.
951;SET;2.0;8.0;6.0;;https://www.myludo.fr/img/jeux/1733306267/300/ad/3469.png;;30;;Jeu pour enfants;SET est un jeu d’observation et de logique où les joueurs doivent repérer des ensembles de trois cartes partageant ou opposant exactement les mêmes caractéristiques. Les parties sont rapides, cérébrales et très stimulantes. Excellent pour développer la concentration et le raisonnement visuel.
592;Spaghetti;2.0;4.0;6.0;;https://www.myludo.fr/img/jeux/1629440623/300/aa/329.png;;30;;Jeu pour enfants;Spaghetti est un jeu d’adresse où les joueurs tirent des “spaghettis” de la pile sans faire tomber les autres, à la manière d’un mikado revisité. Chaque fil a une valeur différente, ce qui ajoute une petite dose de stratégie. Léger, rigolo et parfaitement adapté aux enfants.
235;Twin It! - Jeux De Société;2.0;6.0;6.0;;https://www.myludo.fr/img/jeux/1728029741/300/bd/29306.png;;30;;Jeu pour enfants;Alice is Missing est un jeu de rôle sur table joué en silence par messagerie texte. Les joueurs enquêtent sur la disparition d'une lycéenne nommée Alice Briarwood en assumant le rôle de personnages qui ont des relations préexistantes avec elle et entre eux. Le jeu a été conçu par Spenser Starke et publié par Hunters Entertainment en 2020 après avoir récolté plus de 138 000 $ sur Kickstarter. Il existe des éditions physiques et numériques.
631;Échecs;2.0;2.0;6.0;;https://www.myludo.fr/img/jeux/1741869078/300/as/18277.png;;60;;Jeu de stratégie;Les échecs sont un jeu de société pour deux joueurs, joué sur un plateau carré composé de 64 cases disposées selon une grille 8×8. Les joueurs, appelés « Blanc » et « Noir », contrôlent chacun seize pièces : un roi, une dame, deux tours, deux fous, deux chevaliers et huit pions, chaque type de pièce ayant un schéma de mouvement différent. Une pièce ennemie peut être capturée en déplaçant sa propre pièce sur la case qu'elle occupe. Le but du jeu est de « mater » le roi ennemi. Il existe
323;Blank;2.0;6.0;6.0;;https://www.myludo.fr/img/jeux/1604539318/300/be/30594.png;;10;15.0;Jeu pour enfants;Blank ou Blanks peut faire référence à : Blank (archéologie), un biface en pierre épais et façonné pour le raffinage en un outil en pierre Blank (cartouche), un type de cartouche de pistolet Blank (Scrabble), une pièce de jeu dans le jeu de société Scrabble Blank (solution), une solution ne contenant aucun analyte Un planchet ou un blank, un disque métallique rond à frapper comme une pièce de monnaie Blank d'application, un espace prévu pour les données sur un formulaire Blank de verre, un
606;Perlatette;2.0;5.0;6.0;;https://www.myludo.fr/img/jeux/1634727540/300/at/19445.png;;10;20.0;Jeu pour enfants;L'As d'or — Jeu de l'année est une récompense décernée chaque année depuis 1988 à un nouveau jeu de société lors du Festival international des jeux à Cannes, festival annuel qui se tient généralement en février.
524;Patchwork Express;2.0;2.0;6.0;;https://www.myludo.fr/img/jeux/1757843235/300/bd/29587.png;;15;30.0;Jeu abstrait;Patchwork est un jeu de société à deux joueurs créé par Uwe Rosenberg. Il est sorti en 2014.
826;Bazar Bizarre;2.0;8.0;6.0;;https://www.myludo.fr/img/jeux/1630326778/300/be/30836.png;;20;30.0;Jeu de rapidité;Bazar Bizarre te plonge dans un défi de rapidité où chaque carte teste tes réflexes et ta capacité à identifier l’objet exact avant les autres. Le jeu mélange observation, tension et rires nerveux à chaque révélation de carte. Les erreurs fusent facilement, ce qui ajoute un chaos très amusant. C’est un jeu idéal pour lancer une soirée et déclencher de la compétition instantanée. On y revient toujours parce que personne n’accepte de rester perdant.
931;Le Labyrinthe Magique;2.0;4.0;6.0;;https://www.myludo.fr/img/jeux/1733306612/300/ag/6939.png;;20;30.0;Jeu pour enfants;Le Labyrinthe Magique t’invite à guider ton apprenti magicien dans un dédale invisible où les murs cachés te surprennent au moindre pas. Le système d’aimant est au cœur du fun, créant suspense et petites catastrophes quand ta bille tombe. Chaque partie demande mémoire, anticipation et un peu de chance pour déjouer le plateau. L’ambiance est légère et familiale, parfaite pour jouer avec des enfants comme entre adultes. On se prend vite au jeu du « j’étais sûr que c’était par là ! ».
654;Qwirkle;2.0;4.0;6.0;;https://www.myludo.fr/img/jeux/1724659399/300/ah/7037.png;;30;45.0;Jeu pour enfants;Qwirkle combine stratégie, observation et construction de motifs dans une mécanique aussi simple à comprendre que subtile à maîtriser. Tu crées des lignes de formes ou de couleurs en essayant d’optimiser chaque placement. Les choix sont toujours tendus, car il faut scorer sans offrir trop d’opportunités aux autres. Le plaisir vient de cette montée progressive où tout le monde peut renverser la partie. C’est le type de jeu qui paraît tranquille mais qui devient très compétitif.
25;Cheesenapping!;4.0;8.0;6.0;;https://www.myludo.fr/img/jeux/1713424568/300/cw/74817.png;;30;60.0;Jeu de stratégie;Cheesenapping! te propulse dans une course délirante où chaque joueur tente de sauver – ou voler – le précieux fromage. Les cartes s’enchaînent vite et provoquent coups bas, retournements et éclats de rire. Le rythme est frénétique, parfait pour jouer en mode détente totale. Personne ne sait jamais comment ça va terminer, ce qui donne envie d’enchaîner plusieurs parties. C’est le genre de petit jeu qui met instantanément de l’ambiance.
578;Speed;2.0;2.0;6.0;;https://www.myludo.fr/img/jeux/1696937116/300/ax/23712.png;;5;10.0;Jeu pour enfants;Speed est un duel ultra nerveux où la réactivité est ta seule arme pour te débarrasser de toutes tes cartes. Les parties sont si rapides qu’on enchaîne sans même discuter, juste pour prendre sa revanche. Le stress monte à mesure que les piles évoluent et que les mains s’affolent. C’est simple, dynamique et terriblement addictif. On termine souvent en criant victoire… ou frustration.
232;Wormlord;2.0;8.0;6.0;;https://www.myludo.fr/img/jeux/1720604496/300/bi/34419.png;;5;10.0;Jeu pour enfants;Wormlord te plonge dans un univers souterrain où tu dois étendre ton réseau de vers pour dominer la carte. Les actions simultanées créent un chaos contrôlé très amusant, chacun essayant de bloquer les autres au bon moment. La tension monte vite à mesure que les tunnels s’entremêlent. Le jeu encourage les coups opportunistes et les stratégies rusées. C’est un clash permanent entre vitesse, intuition et un brin de mauvais esprit.
286;BraveRats;2.0;2.0;7.0;;https://www.myludo.fr/img/jeux/1697264822/300/bl/37348.png;;5;;Jeu familial;Blue Orange est une société française de jeux de société basée à Pont-à-Mousson, en France. La société est souvent appelée Blue Orange international ou Blue Orange Europe et confondue avec Blue Orange Games.
722;BraveRats;2.0;2.0;7.0;;https://www.myludo.fr/img/jeux/1706017757/300/ab/1850.png;;5;;Jeu familial;Blue Orange est une société française de jeux de société basée à Pont-à-Mousson, en France. La société est souvent appelée Blue Orange international ou Blue Orange Europe et confondue avec Blue Orange Games.
263;Loading;2.0;7.0;7.0;;https://www.myludo.fr/img/jeux/1725461703/300/bx/49042.png;;5;;Jeu familial;Loading est un jeu de cartes frénétique où il faut récupérer les meilleures valeurs le plus vite possible tout en surveillant les piles adverses. Les décisions sont instantanées et demandent une bonne observation. Le rythme très rapide crée une tension amusante. Les parties durent à peine quelques minutes. C’est un excellent jeu pour lancer ou dynamiser une soirée.
500;Deal Gentlemen Collectionneurs;2.0;3.0;7.0;;https://www.myludo.fr/img/jeux/1622721335/300/ab/1428.png;;10;;Jeu familial;Deal Gentlemen Collectionneurs est un jeu d’enchères où les joueurs achètent, collectionnent et revendent des objets rares pour maximiser leur fortune. Chaque choix influence la valeur future des collections. Le bluff et la lecture des intentions adverses sont essentiels. Le jeu mêle simplicité et subtilité économique. Les parties sont dynamiques et pleines de négociation.
626;Gobblet !;2.0;2.0;7.0;;https://www.myludo.fr/img/jeux/1665142968/300/ac/2069.png;;10;;Jeu familial;Gobblet est un jeu de société pour deux joueurs conçu par Thierry Denoual et édité en 2001 par Gigamic et Blue Orange Games. Gobblet a été finaliste au Jeu de l'année 2004.
251;Mot Malin;2.0;6.0;7.0;;https://www.myludo.fr/img/jeux/1753036381/300/bu/46289.png;;10;;Jeu familial;Mot Malin est un jeu d’association de mots où les joueurs doivent faire deviner une case sur une grille en utilisant un seul indice. Il faut trouver le lien le plus pertinent pour connecter deux axes sans brouiller l’équipe. Simple, malin et très accessible, il développe la réflexion et la communication dans une ambiance coopérative.
24;Pina Coladice;2.0;4.0;7.0;;https://www.myludo.fr/img/jeux/1759826873/300/cw/74894.png;;10;;Jeu de dés;Pina Coladice est un jeu de rapidité et de dextérité où les joueurs doivent empiler des dés colorés selon des combinaisons changées à chaque tour. Les contraintes demandent observation, précision et vitesse pour remplir les objectifs avant les autres. Fun, dynamique et visuel, il fonctionne aussi bien en famille qu’entre amis.
287;Similo - Mythes;2.0;8.0;7.0;;https://www.myludo.fr/img/jeux/1738408029/300/bk/36955.png;;10;;Jeu familial;Similo – Mythes est un jeu coopératif de déduction où les joueurs doivent faire deviner un personnage mythologique parmi plusieurs en posant des cartes qui indiquent des similitudes ou des différences. Chaque indice oriente l’équipe vers la bonne figure tout en éliminant les fausses pistes. Accessible, élégant et très facile à rejouer, il initie parfaitement aux légendes du monde entier.
1005;Sushi Draft;3.0;5.0;7.0;;https://www.myludo.fr/img/jeux/1605128044/300/ab/1458.png;;10;;Jeu familial;Blue Orange Games est une société de jeux de société basée à San Francisco, en Californie. Ils publient et font la promotion de jeux primés depuis plus de 18 ans. L'entreprise a été fondée en 1999 par Thierry Denoual et Juilen Mayot. La société est connue pour utiliser des matériaux recyclables dans ses jeux. Il a remporté de nombreux prix.
680;Battle Sheep;2.0;4.0;7.0;;https://www.myludo.fr/img/jeux/1658742653/300/ab/1837.png;;15;;Confrontation / duel;Battle Sheep est un jeu de société de 2010 développé par Francesco Rotta. Il a été publié par Blue Orange Games, HUCH ! & amis et Lautapelit.fi.
74;CardLine - Animaux;2.0;8.0;7.0;;https://www.myludo.fr/img/jeux/1756064115/300/cm/64503.png;;15;;Jeu familial;L'As d'or — Jeu de l'année est une récompense décernée chaque année depuis 1988 à un nouveau jeu de société lors du Festival international des jeux à Cannes, festival annuel qui se tient généralement en février.
480;Dino Twist;2.0;6.0;7.0;;https://www.myludo.fr/img/jeux/1702041032/300/ab/1157.png;;15;;Jeu familial;Dino Twist est un jeu familial où chaque joueur tente de sauver les dinosaures de son île en envoyant les bonnes cartes au bon moment. Les effets des cartes modifient constamment la disposition des dinosaures et créent des retournements inattendus. Il faut choisir entre sécuriser des créatures ou prendre des risques pour en sauver davantage. Le rythme est rapide et accessible. Les parties sont tendues mais légères, parfaites pour jouer en famille.
650;Jurassic Snack;2.0;2.0;7.0;;https://www.myludo.fr/img/jeux/1753886383/300/at/19857.png;;15;;Jeu familial;Jurassic Snack est un jeu à deux où les joueurs déplacent leurs diplodocus pour manger un maximum d’herbe tout en évitant les redoutables T-Rex. Chaque mouvement peut ouvrir ou bloquer des chemins, rendant le placement très stratégique. Le jeu est simple mais incroyablement malin. Les parties sont rapides et pleines de petits coups tactiques. Idéal pour un duel fun et intelligent.
488;L'Auberge Des Pirates;2.0;8.0;7.0;;https://www.myludo.fr/img/jeux/1752483065/300/ay/24700.png;;15;;Jeu familial;L’Auberge des Pirates est un jeu de cartes familial où les joueurs doivent accueillir ou refuser des pirates dans leur auberge afin d’accumuler des trésors tout en évitant les mauvaises surprises. Il mêle prise de risque, observation et interactions.
894;Merlin Zinzin;2.0;6.0;7.0;;https://www.myludo.fr/img/jeux/1638305141/300/ad/3466.png;;15;;Jeu familial;Merlin Zinzin est un jeu de mémoire et de déduction dans lequel les joueurs doivent se souvenir des objets cachés sous des chapeaux tout en subissant les effets imprévisibles de Merlin. Le jeu développe la concentration et l’attention dans une ambiance humoristique.
1034;Mow;2.0;10.0;7.0;;https://www.myludo.fr/img/jeux/1729522768/300/ai/8864.png;;15;;Jeu familial;Mow est un jeu de cartes tactique où les joueurs posent des cartes pour éviter de récupérer des mouches pénalisantes. Simple et malin, il demande anticipation, calcul et sens du timing.
22;Odin;2.0;6.0;7.0;;https://www.myludo.fr/img/jeux/1757100335/300/cv/73349.png;;15;;Jeu familial;Odin est un jeu de cartes rapide basé sur des combinaisons et des valeurs où les joueurs tentent de se débarrasser de leurs cartes en posant des séries supérieures. Il favorise la réflexion rapide et l’adaptation.
769;Ouga Bouga;3.0;8.0;7.0;;https://www.myludo.fr/img/jeux/1622967942/300/ae/4444.png;;15;;Jeu familial;Ouga Bouga est un jeu d’ambiance et de mémoire dans lequel les joueurs doivent reproduire une suite de sons et de gestes sans se tromper. Il mise sur la mémoire, la concentration et l’humour autour de la table.
379;Punto;2.0;4.0;7.0;;https://www.myludo.fr/img/jeux/1703098859/300/bg/32832.png;;15;;Jeu familial;Punto est un jeu de stratégie abstrait et rapide où les joueurs placent des cartes numérotées pour aligner une suite gagnante. Accessible et tactique, il développe l’anticipation et la vision du jeu.
